"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","mortality_in","mv_elig","MIMIC","white","0","0.06","-0.0238199098907933","-0.0320515640620349","-0.0155882557195517","1.41432502671016e-08","3670","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.104070387221332 0 0.284486793012037 0.588496235602491 0.0229465841641396","0.0654820227578431 0 0 0.740160085275723 0.194357891966434"
"2","mortality_in","mv_elig","MIMIC","white","0.06","0.11","0.00209761292300789","-0.00860042969988512","0.0127956555459009","0.700751705741579","4330","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.187019988648597 0 0 0.558938939502488 0.254041071848914","0.041214916975995 0 0 0.295187834239811 0.663597248784194"
"3","mortality_in","mv_elig","MIMIC","white","0.11","0.21","-0.0284876186321119","-0.043475681854002","-0.0134995554102218","0.000195046925747565","4059","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.33323319803906 0 0 0.538248132301262 0.128518669659678","0.167618532565368 0 0 0.270202892262512 0.562178575172119"
"4","mortality_in","mv_elig","MIMIC","white","0.21","1","0.0256794004232353","0.00783425406223183","0.0435245467842388","0.00479539862981074","3864","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.398365267736058 0 0 0.455775000463258 0.145859731800684","0.266992735785368 0 0 0.113388188188454 0.619619076026178"
"5","mortality_in","mv_elig","MIMIC","non-white","0","0.06","0.0262685292778719","0.00555867373608544","0.0469783848196584","0.0129159633020648","824","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0289942081640927 0 0.549951933959177 0.42105385787673 0","0.219032178351393 0 0 0.465169567014642 0.315798254633965"
"6","mortality_in","mv_elig","MIMIC","non-white","0.06","0.11","0.00924152756254049","-0.0123470466854057","0.0308301018104866","0.401454227712866","933","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.101556351052785 0 0.41845140909396 0.314606661953975 0.165385577899281","0 0 0 0.63284605946422 0.36715394053578"
"7","mortality_in","mv_elig","MIMIC","non-white","0.11","0.21","-0.0146649159560625","-0.0434131179938609","0.0140832860817359","0.31739412458989","855","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.236865880196829 0 0 0.593512401329041 0.16962171847413","0.0353284219087085 0 0 0.620218244329724 0.344453333761568"
"8","mortality_in","mv_elig","MIMIC","non-white","0.21","1","-0.0319643025273338","-0.0693407273160576","0.00541212226138996","0.0937007544900258","884","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.406327065362919 0 0 0.585663192078241 0.00800974255884032","0.389677765793302 0 0 0.427599333197272 0.182722901009425"
"9","mortality_in","rrt_elig","MIMIC","white","0","0.06","0.06026065710968","0.0504979418161627","0.0700233724031974","1.080053981898e-33","3670","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0938843420325827 0 0.326228509423789 0.549500500141327 0.0303866484023008","0.563478823194716 0 0 0.386618128952266 0.0499030478530182"
"10","mortality_in","rrt_elig","MIMIC","white","0.06","0.11","0.026368101406911","0.0157309300390904","0.0370052727747317","1.18234526302716e-06","4330","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.152163598114064 0 0 0.539617889638271 0.308218512247665","0 0 0.698468346923988 0.301531653076012 0"
